C,gamma,cv_mean,cv_std,cv_min,cv_max
9.25,0.014,0.8433928205634014,0.0079807461002084,0.8284229150769069,0.8558976143417616
7.8,0.015,0.8433886152886664,0.007984931633596315,0.8293641779627728,0.8562125510403653
8.3,0.01425,0.8433758837271113,0.008006380917159325,0.829330592166297,0.856732619637012
8.5,0.01425,0.8433724921860682,0.007867034154077992,0.8297285597130445,0.856732619637012
8.5,0.015,0.8433659548090393,0.008221066254739,0.8289134319706042,0.8565081897457054
7.6,0.014,0.8433650262486563,0.008091744282676543,0.8276595234611279,0.8572000961727685
8.85,0.013,0.8433631270811618,0.0078250008027355,0.8280761322186108,0.8566820856176164
9.75,0.0125,0.8433587074067916,0.0075634914462036,0.8297199318627693,0.8553579098597499
8.75,0.0145,0.8433566279939134,0.0079048199316639,0.8289758629363392,0.8561552576076539
7.75,0.015,0.843356135968351,0.0078833137238369,0.8293641779627728,0.8562125510403653
9.0,0.0135,0.8433506285057596,0.0078727170301188,0.8281582555489716,0.856169960753359
7.7,0.015,0.843343926830706,0.008058965728428588,0.8293564114724126,0.856740365715098
10.0,0.0125,0.8433432111734259,0.0077398060667257,0.8292005721650249,0.8561178771620348
8.6,0.015,0.8433306926954757,0.00825396137003012,0.8289134319706042,0.8566615281109613
8.4,0.015,0.843322978778336,0.008138644788796731,0.8287966857190537,0.8559845576913392
8.6,0.01475,0.8433204204331773,0.007948736966567775,0.828399125596954,0.8553805512600656
7.6,0.01375,0.8433196276502744,0.00840501372352213,0.8276484007953879,0.8577298099390664
9.5,0.013,0.8433152415705902,0.0080342356405348,0.8286811009667674,0.8566697536255234
8.1,0.01475,0.8433077588881065,0.00798941060635701,0.8291799336534281,0.856740365715098
9.5,0.0125,0.8432927626253339,0.0077435772509721,0.8280761322186108,0.8556568338011564
8.75,0.013,0.8432902874202617,0.0078154727752912,0.8280761322186108,0.8561757473650957
8.6,0.01425,0.8432897106034013,0.007721037530743785,0.8297285597130445,0.8566835189725146
7.7,0.01375,0.8432827718682268,0.008423060083301312,0.8270494377398522,0.8571644002786105
8.1,0.015,0.8432654097730282,0.00803350400072361,0.8290990535172368,0.8566759819718394
